Name of the University	Number of undergrad Students
Carnegie Mellon University	719
Stanford University	663
Massachusetts Institute of Technology	1348
University of California - Berkeley	2857
Univ. of Illinois at Urbana-Champaign	1787
Cornell University	473
University of Washington	819
Georgia Institute of Technology	2110
Princeton University	314
University of Texas at Austin	1779
California Institute of Technology	
University of Michigan	1039
Columbia University	846
University of California - Los Angeles	1089
University of Wisconsin - Madison	366
Harvard University	
University of California - San Diego	
University of Maryland - College Park	3000
University of Pennsylvania	800
Purdue University	1329
Yale University	
